id,category,feature,description,status,surface,syncthing_compat,implementation,verification,milestone,source,notes
android-device-acceptance,sync,Physical Android release acceptance,"The release path shall be proven on physical phones across supported Android versions for fresh install, upgrade from 0.5, offline picker access, another app's edit, background transfer, force-stop and relaunch, reboot and storage recovery, including startup-timeout and repeated-failure checks; emulator reboot is not a power-loss test.",planned,android,syncthing,packages/tauri-shell/src-tauri/plugins/syncpeer-android/editor-test-app;scripts/test-android-peer.ts,scripts/test-android.mjs;scripts/test-android-peer.ts;packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/test/java/dev/syncpeer/plugin/android/DocumentRuntimeRecoveryPolicyTest.kt,0.6,ROADMAP_0.6.md:5,"The clean-install API 29 and API 36 base emulator gate passed on 2026-09-19. On 2026-09-20 the API 29 real-Syncthing harness passed separate-editor two-way CRUD and two emulator-SIGKILL/cold-restart scenarios through the service runtime. Physical fresh-install, upgrade, true power-loss and signed-release acceptance still block release."
desktop-folder-onboarding,sync,Desktop folder onboarding and lifecycle,"The desktop app shall wire the durable folder registry into its UI for choosing, validating, sharing and subscribing folders.",planned,desktop,layered,packages/core/src/sync/folderRegistry.ts,,backlog,remaining_issues.txt:desktop,From remaining_issues.txt.
fuse-mount,sync,Linux FUSE frontend,"A Linux FUSE mount shall expose the encrypted namespace as a filesystem with readiness, busy-unmount and logout behavior.",planned,desktop,syncthing,packages/core/src/sync/nodeReplica.ts,,backlog,remaining_issues.txt:fuse,From remaining_issues.txt; needs node/native lock reconciliation.
platform-validation,sync,Windows/macOS/iOS validation,"Windows and macOS support shall not be claimed until native SQLite, locks, markers, backups, recovery and secret protection are validated there.",planned,desktop,syncthing,,,backlog,remaining_issues.txt:platform,From remaining_issues.txt.
favorite-prompt-download,sync,Prompt favorite download,"The service shall download a newly selected favorite promptly once the vault is unlocked and the session is connected, subject to transfer policy.",tracked,android,layered,packages/core/src/sync/serviceFavoriteSync.ts,scripts/test-service-favorite-sync.ts,,ROADMAP_0.6.md:1,The service triggers on favorite edits and document release; transfer policy still applies.
favorite-interrupted-resume,sync,Resume interrupted favorite work,"The service shall resume interrupted favorite work after Activity or process recreation, network loss and reboot using durable state and encrypted drafts.",tracked,android,layered,packages/core/src/sync/documentFavoriteState.ts,scripts/test-service-favorite-sync.ts,,ROADMAP_0.6.md:1,Download drafts resume byte ranges; uploads restart as a whole.
browse-without-subscribe,sync,Browse without subscribing,Registering or connecting to a folder shall not download its entire contents; its root shall stay browsable without a subscription.,tracked,all,layered,packages/core/src/sync/documentFilesystem.ts,scripts/test-document-cache.ts,,ROADMAP_0.6.md:2,Roots are remembered on connect; bytes arrive only for selected favorites.
release-acceptance-scenario,sync,Release acceptance scenario,"The 0.6 gate shall pass the five-step physical-phone scenario: create or recover a personal space and remember unlock, register a peer's encrypted folder without a full download, favorite one file and one directory, use and open the selected content offline after Activity and process restart, edit offline and exchange edits and deletions in both directions without data loss, reboot to verify remembered unlock and queued-transfer recovery, explicitly lock to require the master password, and repeat the failure cases with wrong folder passwords, corrupt metadata or blocks, interrupted large transfers and repeated service startup failure.",planned,android,syncthing,packages/tauri-shell/src/document-runtime.ts;packages/tauri-shell/src-tauri/plugins/syncpeer-android/editor-test-app,scripts/test-android.mjs;scripts/test-android-peer.ts;packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/test/java/dev/syncpeer/plugin/android/DocumentRuntimeRecoveryPolicyTest.kt,0.6,ROADMAP_0.6.md:acceptance,"Automated clean-install API 29/API 36 coverage passed on 2026-09-19; API 29 real-peer CRUD, interrupted replica transfer and durable offline edit across emulator SIGKILL passed on 2026-09-20. Do not tag 0.6 until the complete scenario passes on signed physical-phone builds, including upgrade, explicit-lock, corrupt-data and true power-loss cases; record devices and Android versions in release notes."
syncthing-corruption-fixtures,sync,Syncthing corruption fixtures,"Upstream Syncthing fixtures shall cover wrong passwords, tampered metadata or blocks, truncation, missing data and large bounded reads.",planned,all,syncthing,,,backlog,remaining_issues.txt:sync,
directory-conflict-stress,sync,Directory conflict stress tests,Mixed peers shall pass directory-conflict and deletion stress tests plus physical crash and reopen checks.,planned,all,syncthing,packages/core/src/sync/replicaMerge.ts,,backlog,remaining_issues.txt:sync,
folder-sync-streaming-publication,sync,Streaming folder publication,Standalone folder-sync publication shall use a bounded or streaming path instead of whole-file buffering.,planned,core,syncthing,packages/core/src/sync/folderSync.ts,,backlog,remaining_issues.txt:sync,
receive-encrypted-files,encryption,Receive-encrypted files,"Core shall read and write Syncthing receive-encrypted files including filename, metadata and block encryption, verified against real Syncthing in both directions.",tracked,all,syncthing,packages/core/src/sync/encryptedFilesystem.ts,scripts/test-encrypted-filesystem.ts,,,Verified against real Syncthing in both directions.
untrusted-folder-crypto,encryption,Untrusted folder crypto,"Core shall implement Syncthing's untrusted folder crypto, including scrypt key derivation, AES-SIV tokens and padded XChaCha payloads, so encrypted folders interoperate.",tracked,core,syncthing,packages/core/src/core/model/untrusted.ts;packages/core/src/client.ts;packages/core/src/core/protocol/bep.ts,scripts/test-encrypted-filesystem.ts;scripts/test-encrypted-replica.ts;scripts/test-android-peer.ts,,,Syncthing receive-encrypted format. Block-token AES-SIV authenticates the offset plus Syncthing's trailing empty associated-data component; request validation decrypts and compares the plaintext block hash.
encrypted-metadata-wrapper,encryption,Encrypted metadata wrapper,Core shall wrap BEP FileInfo in Syncthing's encrypted metadata format for wire publication and disk trailers without leaking original counters.,tracked,core,syncthing,packages/core/src/core/model/untrustedMetadata.ts,scripts/test-encrypted-filesystem.ts;scripts/test-encrypted-replica.ts,,,Does not leak original counters.
private-encrypted-records,encryption,Private encrypted records,"Core shall store vault, settings, baseline and favorite state as authenticated encrypted records.",tracked,all,local,packages/core/src/sync/encryptedRecord.ts,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts,,,
plaintext-namespace-view,encryption,Plaintext namespace view,Core shall reconstruct encrypted directory structure from metadata without reading contents or retaining per-file keys.,tracked,core,syncthing,packages/core/src/sync/encryptedNamespace.ts,scripts/test-encrypted-replica.ts;scripts/test-encrypted-filesystem.ts,,,
ciphertext-trailer-journal,encryption,Ciphertext trailer and journal,Core shall parse encrypted trailers and journal generations so a keyless relay can forward ciphertext.,tracked,core,syncthing,packages/core/src/sync/ciphertextFilesystem.ts;packages/core/src/sync/ciphertextIndex.ts,scripts/test-encrypted-replica.ts;scripts/test-replica-persistence.ts,,,
master-password-vault,encryption,Master-password vault,"The vault shall wrap one stable random key with a master password and shall support create, unlock, lock and password change atomically; wrong passwords and corruption shall fail closed.",tracked,all,local,packages/core/src/sync/credentialVault.ts,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts,,,Wrong passwords and corruption fail closed.
remembered-unlock,encryption,OS-remembered unlock,"The app shall offer an explicit OS-protected remembered unlock, shall propagate remember and forget state and shall revoke access on lock.",tracked,all,local,packages/core/src/sync/credentialVault.ts;packages/tauri-shell/src-tauri/src/vault_secret.rs,scripts/test-credential-vault.ts;scripts/test-native-credentials.mjs,,,
biometric-unlock,encryption,Biometric and device-credential unlock,The Android app shall protect the remembered unlock secret with biometric or device-credential authentication without exposing the secret.,tracked,android,local,packages/tauri-shell/src-tauri/src/vault_secret.rs,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/androidTest/java/dev/syncpeer/plugin/android/DocumentRuntimeServiceTest.kt,,,
device-protected-vault,encryption,Device-protected vault,A device-protected vault shall use a generated device secret instead of a user password.,tracked,all,local,packages/core/src/sync/credentialVault.ts,scripts/test-native-credentials.mjs,,,
recovery-backup,encryption,Offline recovery backup,The app shall produce an offline recovery backup using a distinct recovery password and shall restore the vault from it.,tracked,all,local,packages/core/src/sync/credentialVault.ts;packages/core/src/sync/personalSpaceBootstrap.ts;packages/app/src/FolderSettingsPage.svelte,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts,,,The Folder settings page exposes export and import; device-local roots and documents are excluded from the backup.
sqlcipher-metadata,encryption,SQLCipher metadata encryption,Native metadata shall be stored in a SQLCipher database keyed with sqlite3_key and an HMAC key check.,tracked,all,local,packages/tauri-shell/src-tauri/src/metadata_sqlite.rs;packages/tauri-shell/src-tauri/src/native_cache_metadata.rs;packages/tauri-shell/src-tauri/Cargo.lock,packages/tauri-shell/src-tauri/src/metadata_sqlite.rs (inline tests);packages/tauri-shell/src-tauri/src/native_cache_metadata.rs (inline tests);scripts/test-android.mjs,,ROADMAP_0.6.md:3,"The native cache index and resumable-transfer metadata use a separately keyed SQLCipher store. openssl-src is locked to the latest compatible 300.5.5+3.5.5 release because OpenSSL 3.6 x86 crypto assembly is incompatible with the pinned Android NDK 26 assembler; the x86_64 Android build and emulator filesystem gate passed on 2026-09-19. Physical-device verification remains."
encrypt-remaining-plaintext,encryption,Encrypt remaining app state,"The encryption boundary shall cover legacy cache and partial-transfer metadata, UI and WebView state, the folder registry and the keyless ciphertext-history index; it shall preserve the index's required locked operation, shall document unavoidable structural leakage and shall remove old plaintext copies only after a verified migration.",tracked,all,local,packages/core/src/sync/credentialVault.ts;packages/core/src/sync/folderRegistryStorage.ts;packages/core/src/sync/ciphertextIndex.ts;packages/app/src/app/state.ts;packages/tauri-shell/src-tauri/src/native_cache_metadata.rs,scripts/test-app-state.ts;scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts;scripts/test-replica-persistence.ts;scripts/test-encrypted-replica.ts;packages/tauri-shell/src-tauri/src/native_cache_metadata.rs (inline tests),0.6,ROADMAP_0.6.md:3,"UI state, folder registrations, legacy credentials and native cache metadata migrate only after encrypted read-back. The keyless index stores an identity commitment; its unavoidable structural leakage is record size, generation count, opaque descriptors and names, ciphertext sizes and block layout, flags, version summaries, generation IDs/revisions and pending-state presence."
saf-export-boundary,encryption,SAF export boundary,"SAF output shall be a deliberate plaintext export, clearly identified before data is written, and shall never be presented as part of the encrypted replica.",tracked,android,local,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/main/java/dev/syncpeer/plugin/android/SafStorage.kt,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/androidTest/java/dev/syncpeer/plugin/android/DocumentRuntimeServiceTest.kt,0.6,ROADMAP_0.6.md:3,The PIM export UI identifies the selected directory as plaintext before writing; physical-device verification remains.
folder-password-recovery,encryption,Folder password recovery,The app shall recover or explicitly re-approve the password for an existing encrypted folder.,tracked,android,syncthing,packages/core/src/sync/credentialVault.ts;packages/app/src/FolderSettingsPage.svelte,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts,0.6,ROADMAP_0.6.md:2,Import re-approves peer and folder identity; recovery restores scoped credentials from the personal-space backup. Physical Android verification remains.
kdf-off-ui-thread,encryption,Non-blocking bootstrap KDF,The memory-hard bootstrap KDF shall run off the UI thread so creation and unlock do not freeze the interface.,tracked,all,local,packages/core/src/core/model/passwordKdf.ts; packages/core/src/sync/credentialVault.ts; packages/app/src/lib/passwordKdf.ts,an injected KDF port is awaited so the caller keeps running; an injected password KDF port serves vault creation and unlock,0.6,ROADMAP_0.6.md:4,Desktop WebView derives in a short-lived worker; the Android document runtime already runs in a background isolate and keeps the in-process default.
cli-identity-protection,encryption,CLI identity key protection,The CLI device-private identity key shall be protected by the platform credential store or an encrypted identity container.,planned,desktop,local,packages/core/src/node.ts,,backlog,remaining_issues.txt:encryption,From remaining_issues.txt.
fresh-install-encryption-check,encryption,Fresh install encryption check,"Fresh installs shall use encrypted document storage, SQLCipher metadata and protected native identity, and legacy plaintext identity files shall fail safely.",tracked,all,local,packages/core/src/sync/documentFilesystem.ts;packages/tauri-shell/src-tauri/src/lib.rs,scripts/test-document-filesystem.ts;packages/tauri-shell/src-tauri/src/lib.rs (inline tests),0.6,ROADMAP_0.6.md:3,A fresh-profile test scans every native root for plaintext names and content; plaintext legacy identity files fail closed until local reset.
encryption-boundary-audit,encryption,Encryption boundary audit,"Backups, temporary files and diagnostics shall be audited against the same encryption policy as the main database.",tracked,all,local,packages/tauri-shell/src-tauri/src/metadata_sqlite.rs;packages/tauri-shell/src-tauri/src/lib.rs;packages/core/src/transfer/nodeStorage.ts;packages/core/src/ui/browserClient.ts;packages/app/src/lib/tauriAdapters.ts,packages/tauri-shell/src-tauri/src/metadata_sqlite.rs (inline tests);packages/tauri-shell/src-tauri/src/lib.rs (inline tests);scripts/test-block-reuse.ts;scripts/test-connection-notices.ts,0.6,ROADMAP_0.6.md:3,"SQLCipher database, WAL and backups are ciphertext; JSON and CLI resume replacements use exclusive mode-0600 temporary files with cleanup; diagnostic consoles, native forwarding and copied logs omit arbitrary private messages and redact structured identifiers."
unlock-recovery-tests,encryption,Unlock and recovery test matrix,"Unlock tests shall cover wrong password, missing Keystore material, process death, reboot, reset and recovery, and shall require the master password on first unlock and after explicit lock while using Keystore only when remembering was enabled.",tracked,all,local,packages/core/src/sync/credentialVault.ts,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts;packages/tauri-shell/src-tauri/src/lib.rs (inline tests),0.6,ROADMAP_0.6.md:4,"Core covers wrong password, missing remembered secret, locked device, failed rotation and occupied-profile recovery; physical-device reboot and reset runs remain in the release acceptance scenario."
cli-metadata-encryption,encryption,CLI metadata encryption,CLI metadata shall be encrypted with a managed key.,planned,cli,local,packages/core/src/sync/nodeMetadataStorage.ts,,backlog,remaining_issues.txt:encryption,
webview-fallback-removal,encryption,Remove WebView secret fallbacks,Remaining plaintext WebView and legacy secret fallbacks shall be removed after reset is validated.,planned,app,local,packages/app/src/app/state.ts,,backlog,remaining_issues.txt:personal-space,
key-zeroization,encryption,Runtime key clearing,Core shall clear decrypted keys and temporary buffers when an owner locks or closes.,tracked,core,local,packages/core/src/sync/documentFilesystem.ts,scripts/test-credential-vault.ts,,LOCAL_STORAGE.md,
space-bootstrap,personal-space,Personal space bootstrap,"A personal space shall derive its bootstrap key from the master password with scrypt and wrap a random space ID, settings-folder ID and root key, supporting recovery without revealing either identifier.",tracked,all,layered,packages/core/src/sync/personalSpaceBootstrap.ts,scripts/test-personal-space.ts,,,Hides identifiers and supports recovery.
space-key-derivation,personal-space,Space key derivation,"The personal space shall derive the personal vault key and shared settings-folder password from the stable root key with HKDF, and changing the master password shall only rewrap that key.",tracked,all,layered,packages/core/src/sync/personalSpaceBootstrap.ts,scripts/test-personal-space.ts,,,Changing the master password only rewraps the stable root key.
owned-device-pairing,personal-space,Owned-device pairing,"Owned devices shall pair with ECDH P-256, HKDF and AES-GCM, shall require matching 6-digit confirmation codes and shall expire unused invites.",tracked,core,layered,packages/core/src/sync/personalSpacePairing.ts,scripts/test-personal-space-pairing.ts,,,"Transport, persistence and UI wiring remain planned."
owned-device-roster,personal-space,Owned-device roster,"The owned-device roster shall be signed and hash-chained with genesis pinning, revocation, replacement and a recovery key path.",tracked,core,layered,packages/core/src/sync/personalSpaceSharing.ts,scripts/test-personal-space-sharing.ts,,,Recovery key can replace all lost devices.
share-target-resolution,personal-space,Share target resolution,Personal-space shares shall expand to active owned devices only and shall exclude revoked or retired identities.,tracked,core,layered,packages/core/src/sync/personalSpaceSharing.ts,scripts/test-personal-space-sharing.ts,,,
shared-settings-propagation,personal-space,Shared settings propagation,"Personal-space settings shall propagate as an authenticated change DAG with parent and cycle checks, tombstones and explicit conflicts.",tracked,core,layered,packages/core/src/sync/personalSpaceChanges.ts,scripts/test-personal-space-changes.ts,,,Not yet connected to BEP or the UI.
pairing-transport-wiring,personal-space,Pairing transport and persistence,"Pairing shall run over LAN or relay transport with persistence, stable device slots, user confirmation, revocation and BEP membership propagation.",planned,all,layered,packages/core/src/sync/personalSpacePairing.ts,,backlog,remaining_issues.txt:personal-space,From remaining_issues.txt; primitives exist.
cross-device-settings-sync,personal-space,Cross-device settings and favorites,Versioned folder-share targets and device-scoped favorites shall persist in the encrypted settings folder and shall apply across owned devices.,planned,all,layered,packages/core/src/sync/personalSpaceChanges.ts,,backlog,remaining_issues.txt:personal-space,From remaining_issues.txt.
space-backup-workflow,personal-space,Personal-space backup workflow,"A usable export and import workflow shall exist for the offline personal-space backup, and it shall state that the backup contains neither downloaded documents nor device identity keys.",tracked,all,local,packages/core/src/sync/personalSpaceBootstrap.ts;packages/app/src/FolderSettingsPage.svelte,scripts/test-credential-vault.ts;scripts/test-document-filesystem.ts,0.6,ROADMAP_0.6.md:4,The UI states the backup contains neither downloaded documents nor device identity keys; recovery starts with remembering disabled. Physical-device verification remains.
shared-personal-space-promise,personal-space,Shared personal-space promise,"If a future release is advertised as a shared personal space, cross-device settings, pairing, revocation and favorite propagation shall become release blockers with their own recovery and compromise tests.",planned,all,layered,packages/core/src/sync/personalSpaceSharing.ts,,backlog,ROADMAP_0.6.md:outside,Explicitly excluded from the Android 0.6 release promise; retain as a future release gate.
personal-space-recovery-e2e,personal-space,Personal-space recovery end to end,"Personal-space recovery and compromise rekey shall be proven end to end, including mixed Syncthing interoperability and device reboot.",planned,all,layered,packages/core/src/sync/personalSpaceBootstrap.ts,,backlog,remaining_issues.txt:personal-space,
browser-personal-space-access,personal-space,Browser-only personal-space access,"A future release shall provide a stable HTTPS URL that runs Syncpeer without native installation and opens an existing personal space only with the master password plus a separate space locator, recovery credential or approved-device invitation; the browser shall establish authenticated end-to-end encrypted connectivity over WebRTC data channels when available and a secure WebSocket tunnel or relay fallback otherwise, without giving the hosting or relay service plaintext access.",planned,web,layered,,,backlog,,"Outside 0.6; depends on browser storage and transport adapters plus pairing and recovery wiring. Reusable secrets shall never appear in URLs, and persistence on a browser device shall require explicit opt-in. The WSS fallback may follow the same architectural pattern as Taskyon's tunnel."
vcard-support,pim,vCard support,"Core shall parse, split and serialize vCard 3.0 contacts with names, phones and emails.",tracked,core,layered,packages/core/src/pim/formats.ts,scripts/test-pim.ts,,,
icalendar-support,pim,iCalendar support,"Core shall parse, split and serialize iCalendar VEVENT entries with UTC conversion.",tracked,core,layered,packages/core/src/pim/formats.ts,scripts/test-pim.ts,,,
pim-path-layout,pim,PIM path layout,"PIM records shall use canonical per-record paths plus manifest, operation and tombstone sidecars with sanitized segments.",tracked,core,layered,packages/core/src/pim/paths.ts,scripts/test-pim.ts,,,
pim-bootstrap,pim,PIM bootstrap plan,Core shall bootstrap PIM folders with contacts and calendar manifests and seed records.,tracked,core,layered,packages/core/src/pim/bootstrap.ts,scripts/test-pim.ts,,,
pim-merge,pim,PIM merge policy,"PIM merge shall resolve contacts and events by timestamp, device and version lineage with tombstones and a silent-merge manifest.",tracked,core,layered,packages/core/src/pim/merge.ts,scripts/test-pim.ts,,,
pim-android-providers,pim,Android contacts and calendar providers,"The Android app shall list, create, update and delete contacts and calendar events through system providers and shall exchange them as vCard and iCalendar files in the synced folder.",tracked,android,layered,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/main/java/dev/syncpeer/plugin/android/SyncpeerAndroidPlugin.kt,scripts/test-android-e2e.mjs,,,File-based PIM sync exists; provider import/export wiring is experimental.
pim-experimental-gate,pim,Experimental PIM gate,PIM synchronization shall stay disabled until explicitly enabled.,tracked,app,local,packages/app/src/app/state.ts,scripts/test-favorite-sync-policies.ts,,,Default off.
pim-folder-lifecycle,pim,PIM folder lifecycle,"The app shall let a user pick a PIM folder, initialize the layout, sync on demand and import provider .vcf and .ics files.",tracked,app,layered,packages/app/src/app/pimActions.ts,scripts/test-syncthing-pim-stub.ts,,,Experimental.
cli-browse,cli,CLI remote browsing,The CLI shall list remote folders and browse their directory trees.,tracked,cli,syncthing,packages/cli/src/main.ts,scripts/test-dev-cli.ts;scripts/test-local.ts,,,
cli-transfer,cli,CLI download and upload,The CLI shall download and upload individual files with progress and transport reporting.,tracked,cli,syncthing,packages/cli/src/main.ts,scripts/test-dev-cli.ts;scripts/test-local.ts;scripts/test-folder-sync-integration.ts,,,
cli-folder-sync,cli,CLI folder sync,"The CLI shall advertise, serve and synchronize selected local folders in both directions, including continuous mode.",tracked,cli,syncthing,packages/cli/src/main.ts,scripts/test-folder-sync-integration.ts,,,Includes continuous two-way sync.
cli-versioning,cli,CLI versioning and deletion,"The CLI shall list and restore archived versions, unsubscribe a local folder and publish explicit file deletions.",tracked,cli,syncthing,packages/cli/src/main.ts,scripts/test-local.ts;scripts/test-folder-sync-integration.ts,,,
cli-utilities,cli,CLI utilities,"The CLI shall expose build info, local identity, local file listing and discovery probes for scripts and diagnostics.",tracked,cli,syncthing,packages/cli/src/main.ts,scripts/test-cli-build-info.ts;scripts/test-dev-cli.ts,,,
cli-connection-flags,cli,CLI connection flags,"The CLI shall accept host, port, certificate, key, remote ID, discovery mode and server, relay-only, QUIC-only, device name, folder password and timeout options.",implemented,cli,syncthing,packages/cli/src/main.ts,,,,"Covered indirectly by integration scripts, no dedicated flag test."
native-ts-transport-bridges,desktop,Native transport bridges,"The desktop shell shall expose TLS, QUIC and relay sockets to the core session.",tracked,desktop,syncthing,packages/tauri-shell/src-tauri/src/lib.rs,scripts/test-connection-management.ts;scripts/test-node-quic-integration.ts,,,
native-discovery-bridges,desktop,Native discovery bridges,The desktop shell shall expose LAN discovery and global discovery fetch to core.,tracked,desktop,syncthing,packages/tauri-shell/src-tauri/src/lib.rs,scripts/test-tauri-local-discovery.ts;scripts/lan-test/ui-smoke-spec.ts,,,
native-cache-api,desktop,Native cache API,"The desktop shell shall expose cache sinks with resume, range digest and copy, listing, removal and open actions.",tracked,desktop,local,packages/tauri-shell/src-tauri/src/cache_ranges.rs,scripts/test-tauri-download-sink.ts;scripts/test-document-cache.ts,,,
native-document-bridge,desktop,Native document bridge,The desktop shell shall route document operations to the packaged core document runtime.,tracked,desktop,local,packages/tauri-shell/src-tauri/src/documents.rs,scripts/test-document-runtime.mjs,,,
identity-recovery-export,desktop,Identity recovery export/restore,The app shall export and restore a device identity recovery secret.,implemented,all,local,packages/tauri-shell/src-tauri/src/lib.rs,,,,App UI exists; no automated test found.
protected-secret-store,desktop,Protected secret store,The desktop and Android shells shall store the remembered unlock secret and metadata key in OS-protected secret storage.,tracked,all,local,packages/tauri-shell/src-tauri/src/vault_secret.rs;packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/main/java/dev/syncpeer/plugin/android/VaultSecretStore.kt;packages/tauri-shell/src-tauri/src/replica_storage.rs,scripts/test-native-credentials.mjs;scripts/test-android-e2e.mjs,,,Android replica storage now loads its metadata key through the platform vault; the API 29 Keystore secret survived emulator reboot and the encrypted filesystem reopened on 2026-09-19. Physical reboot and power-loss acceptance remain.
local-reset,desktop,Fresh local reset,The app shall wipe app-owned data and protected credentials after typed confirmation without touching external folders or peers.,tracked,all,local,packages/tauri-shell/src-tauri/src/local_reset.rs,packages/tauri-shell/src-tauri/src/local_reset.rs (inline tests),,,Android clears app data; external folders and peers are never wiped.
desktop-packaging,desktop,Desktop packaging,"The project shall build AppImage, deb and Flatpak bundles with consistent version metadata.",implemented,desktop,local,flake.nix,,,,CI publishes on version tags; no packaging test.
desktop-folder-status-ui,desktop,Desktop folder status and controls,"The desktop app shall show folder status, progress, pause and resume, reconnect and actionable errors.",planned,desktop,layered,packages/core/src/sync/folderRegistry.ts,,backlog,remaining_issues.txt:desktop,
desktop-folder-operations-ui,desktop,Desktop folder operations,"The desktop app shall expose unsubscribe, delete-everywhere, archive and versioning and cache removal as separate controls.",planned,desktop,layered,packages/app/src/components/FoldersTab.svelte,,backlog,remaining_issues.txt:desktop,
desktop-profile-lifecycle,desktop,Desktop profile lifecycle,"The desktop app shall complete onboarding and logout and login cleanup by draining work, closing handles, unmounting and discarding keys.",planned,desktop,local,packages/core/src/sync/credentialVault.ts,,backlog,remaining_issues.txt:desktop,
desktop-secret-service-validation,desktop,Desktop Secret Service validation,The real desktop Secret Service remembered-secret lifecycle shall be validated beyond the isolated keyring fixture.,planned,desktop,local,packages/tauri-shell/src-tauri/src/vault_secret.rs,,backlog,remaining_issues.txt:desktop,
fuse-lock-reconciliation,desktop,FUSE lock reconciliation,"Node and native root-lock protocols shall be reconciled, or concurrent writable access prohibited, and host FUSE contract tests shall cover rename, truncate, random writes, concurrent handles, crash recovery and reopen.",planned,desktop,syncthing,packages/core/src/sync/nodeFolderStorage.ts,,backlog,remaining_issues.txt:fuse,
ios-validation,desktop,iOS validation,iOS support shall not be claimed before app-private paths are validated on iOS.,planned,desktop,local,,,backlog,remaining_issues.txt:platform,
local-reset-acceptance,desktop,Local reset acceptance,The fresh-start reset shall be device-tested on Android process-clear and desktop cleanup.,planned,all,local,packages/tauri-shell/src-tauri/src/local_reset.rs,,backlog,remaining_issues.txt:personal-space,Never wipes external selected folders or remote peers.
tauri-cache-subscription,desktop,Foreground cache subscription,The desktop app shall subscribe selected content in the foreground so the download cache stays current.,planned,desktop,layered,packages/core/src/sync/folderSync.ts,,backlog,DESIGN_INCREMENTAL_BLOCK_REUSE.md,
release-automation,build,Release automation,"Releases shall be prepared from a clean tree with a version bump, a staged release commit, an annotated tag and metadata checks.",tracked,all,local,scripts/release.mjs,scripts/test-diagnostics.ts,,,
headless-diagnostics,build,Headless diagnostics umbrella,"The headless umbrella shall run core, protocol, Syncthing integration, CLI, PIM, approval, discovery and native checks with explicit skips.",tracked,all,local,scripts/test-diagnostics.ts,scripts/test-diagnostics.ts,,,Report written to .tmp/syncpeer-test-reports/headless-report.json.
e2e-umbrella,build,E2E umbrella,The E2E umbrella shall run local and remote Tauri workflows including the in-app diagnostics catalog.,tracked,desktop,local,scripts/test-e2e.ts,scripts/test-e2e.ts,,,Remote workflows need a configured dev server.
sensitive-identifier-scan,build,Sensitive identifier scan,"Every supported suite shall run a sensitive-identifier scan that fails on credentials, tokens, private keys and non-fixture identifiers.",tracked,all,local,scripts/scan-sensitive-identifiers.mjs,scripts/test-sensitive-identifiers.ts;scripts/test-sensitive-identifiers.ts,,,Runs before every supported suite.
android-validation-workflow,build,Combined Android validation workflow,One command shall build the Android APK and separate synthetic editor APK and run the modern service smoke plus the legacy compatibility and real-peer capability gates.,tracked,android,local,scripts/test-android.mjs;scripts/test-android-peer.ts;scripts/android-emulator.mjs;.gitignore,scripts/test-build-configuration.mjs;scripts/test-android-e2e.mjs;scripts/test-android-peer.ts,,,"The editor is a standalone no-launcher Gradle project whose generated output is ignored. The runner removes only Syncpeer's app, instrumentation package and editor before clean phases, and CDP automation selects the Activity WebView rather than the hidden runtime page. The complete API 36 smoke plus API 29 instrumentation/reboot/provider/real-peer/editor/SIGKILL command passed on 2026-09-20."
build-configuration,build,Build configuration checks,Build configuration checks shall assert that application and Tauri builds compile core first and that Android workflows use standard runners.,tracked,all,local,package.json,scripts/test-build-configuration.mjs,,,
diagnostics-redaction,build,Diagnostics redaction,Generated diagnostics shall redact peer identifiers and filesystem metadata.,tracked,core,local,packages/core/src/client.ts,scripts/test-connection-management.ts;scripts/test-app-diagnostics.ts,,,
documents-provider,android,Android DocumentsProvider,"The Android app shall expose encrypted documents to the system Files app with list, stat, create, rename, delete, read and write operations without requiring an Activity.",tracked,android,local,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/main/java/dev/syncpeer/plugin/android/SyncpeerDocumentsProvider.kt;packages/tauri-shell/src-tauri/plugins/syncpeer-android/editor-test-app,packages/tauri-shell/src-tauri/plugins/syncpeer-android/android/src/androidTest/java/dev/syncpeer/plugin/android/DocumentRuntimeServiceTest.kt;scripts/test-android-e2e.mjs;scripts/test-android-peer.ts,,,The separate no-launcher APK uses only persisted SAF access. On 2026-09-20 it created/read/modified/renamed/deleted real peer files and independently hashed a recovered 4 MiB provider document on API 29.
